,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
146,2010,Chennai,03-04-2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin
147,2010,Mumbai,03-04-2010,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi
148,2010,Kolkata,04-04-2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper
149,2010,Delhi,04-04-2010,Delhi Capitals,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Delhi Capitals,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus
150,2010,Nagpur,05-04-2010,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel
151,2010,Chennai,06-04-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper
152,2010,Jaipur,07-04-2010,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore
153,2010,Kolkata,07-04-2010,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen
154,2010,Bangalore,08-04-2010,Royal Challengers Bangalore,Sunrisers Hyderabad,Deccan Chargers,field,normal,0,Sunrisers Hyderabad,0,7,TL Suman,M. Chinnaswamy Stadium,S Asnani,DJ Harper
155,2010,Chandigarh,09-04-2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,IS Bindra Stadium,M Erasmus,AM Saheba
